Yorum;Etiket
"berbat bir uyarlama filmi bu filmi anlamadigim için oturup bütün seriyi okudumkitaplar çok çok çok daha güzel.... 
";negative
"çok birsey beklemedim alirken.bekledigimin de altindaydi.ben neden hala bu klise romantik amerikan filmlerinde birseyler ariyorum diye de sordum kendime!vakit kaybi.... 
";negative
"çok etkileyici sahneleri var sonu ne kadar belli olsa da izlenmeye deger bir film bence, biraz 'hostel' lezzeti var filmde bu da açikçasi beni daha mutlu etti.... 
";positive
"filmin tutualacak hiç birseyi yok malasef yani türk simamasi bu filmlere mi kaldi.ne hikayesi ne seneryosu ne oyunculugu bes para etmez. harcadigim vakte ve paraya okadar üzüldüm ki anlatamam, puan vermeye bile degmez. kesinlikle izleyip de vaktinizi harcamayin benden size söylemesi. 
";negative
"çok basarili bir romantik komedi. izledikten sonra sevdiklerinizle iliskilerinizi tekrar inceleyebilirsiniz 
";positive
"senaryo cok dar olmasina ragmen yinede iyi islenememis cem yilmaz komedide kalsin bence dram pek ona gore degil. 
";negative
"hiç istemeden,arkadas zoruyla girdim filme. sonra tek kelimeyle bayildim! muhtesem,sicacik bir film. kesinlikle izlemelisiniz!. 
";positive
"filmden az önce ciktim para kaybi vakit kaybi ne kadar kayip varsa üst üste koyabilirsiniz . 
";negative
"bir seyahat sonunda araç beklerken vakit geçirmek için gittim... inanin yapacak hiç bisey bulamayinca sirf vakit geçirmek için bile izlenmeyecek kadar kötü bir film... filmin ilgi çekici tek yani bir türk hamami sahnesi olmasi..... 
";negative
"müthis bir film.izleyeni güldürdügü kadarda aglatiyor hele film içine serpistirilmis mesajlar harika ya tek kelimeyle süper.bu filmde tom hanks kadar gary sinise de çok iyiydi. 
";positive
"filmi bugün izleme firsatim oldu.konu itibariyle ve sürekliyici temposuyla güzel bir filmdi.ama sonu daha iyi olabilirdi.anthony hopkins her zamanki gibi etkileyici bir performans gösteriyor.bence izlenilmesi gereken bir film.. 
";positive
"çok büyük vakit kaybi izlenecek daha güzel yapitlar varken bunu gereksiz görüyorum. 
";negative
"iyi bi korku filmi olmus ama inanilmaz kanli her sahnede kan gövdeyi götürüyo.bn sonunda hayal kirikligina ugradim ama onun disinda iyi bi film.... 
";positive
"bu filmin reklamini mi iyi yaptilar anlamadim ki. film bakilasi bir film degil, hadi baktik izledik tapilasi bir film hiç degil. . 
";negative
"süper bir film olmus herkese tavsiye ederim.. 
";positive
"bence de cüneyt arkin filmi gibi  
";negative
"harika harika will smith harika mutlaka izleyin derim. 
";positive
10 üserinden 10 verdigim nadir filmlerden biri...aglatan, güldüren, düsündüren, cesaretlendiren, korkutan ....vb duygulari yasatan ve bunu sadece siyah beyaz animasyon teknigiyle basaran bir film...tesekkürler.;positive
"son zamanlarda izledigim en güzel film. sade ama gerçekçi sinema anlatimiyla, islenmesi zor olan konu çok çekici hale gelmis. son sahnesindeki diyalog gerçekten süper. herkese rahatlikla tavsiye edebilecegim bir yapim. . 
";positive
"ya bu turkler ne zaman dogru duzgun bi film yapabilcek amerikan özentisi filmler yapmaktan vazgeçin lutfen. 
";negative
"müzikler muhtesem.... 
";positive
"çok gereksiz bir psikolojik film. izlemezseniz hiç bir sey kaybetmezsiniz.. 
";negative
"bu tarz filmlerin çikmasindan utanç duyuyorum bu kadar amerika özentisi olmayin lütfen bu durum böyle oldugu sürece türk sinemasi asla ilerleme gösteremez.söyle bisey var ki bu tarz film çekmekte bile büyük emek var tabiki emege saygim sonsuz.... 
";negative
"arkadaslar filmi izlemedim amaafisi bile ; gel beni izle bari parami çikarayim der gibi siradan olmus. 
";negative
"çarlinin meleklerinden bir oyuncu + bir sahil + bir bikini, görevimiz tehlikeden bir oyuncu + birden çok gülümseyis + bol aksiyon alinmis. ama sonuçta iyi bir film olamamis.. 
";negative
tüm zamanlarin en iyi filmi!!. en kisa zamanda bulun. bu masum ama pek akilli olmayan adami tom hanksin mükemmel performansiyla izleyin ve 6 oscari nasil bileginin hakki ile aldigini görün..;positive
tam anlamiyla oyunculuk sovu, 10 üzerinden 10. ...dikkatli bakmiyorsunuz......;positive
"sakin bir pazar sabahi izlenebilecek eglenceli bir macera.. 
";positive
"dogal bir film olmus teknik fena degil gerçekler anlatilmis kazanan herzaman turk sinemasi olsun. 
";negative
üyelerin yaklasik %90i film hakkinda olumlu yorumlar yapmis.bn sedace harkulede diyorum;positive
"ilk film kadar etkileyici degil kötü bir film olmus kabuklasmis bir konunun farkli bir versiyonu olarak cikiyor karsimiza izlenebilr ama ben taviye etmiyorum dedigim gibi kötü bir film olmus. 
";negative
filmi yeni seyrettim.seyretmiyen arkadaslari uyarayim dedim.bütün kötü yorumlari fazlasi ile hakediyor.1 saat 43 dklik zaman kaybi.;negative
"bu filmi çekmek nasil bir insanliktir allah kat be kat belasini versin . sirplarin nasil sapik ruhlu pis bir millet oldugunun kaniti bir film. 
";negative
"i'm foorrreeeessst fooorrreesst guuummppp kulaklarimda çinlaniyor. içim sizlayarak izledim ve sanirim hayatimda ilk kez gülümserken bile içim sizladi.. i'm forrest forressst guuuummp!. 
";positive
"hanim efendiye hayati dolu dolu yasa demisler oda önüne gelenle yatmaya baslamis. zaman kaybi. 
";negative
"dead silencela bizi bir hayli kizdirmis olan james wan death sentencela bu hatasini telafi ediyor.normal bir hayati olan bir aile babasinin kendi adaletini uygulamaya çalisirken karsisindakilerden nasil olup da bir farki kalmadigini etkilenerek izliyoruz.. 
";positive
"hiç begenmedim ve konusunun ne olduguna anlam veremedigim bi filmdi açikcasi tavsiye etmiorum... 
";negative
bu filme neden bu kadar az yorum yapilmis anlamiyorum... sinema tarihinin 1 numarasi.;positive
"elestirmenlerin kötü demesine ragmen hiçte o kadar kötü degil ...çok güldürdü.... 
";positive
"aglamak istiyordum güldüm ama yaa sikilmadim ama tavsiyede edemiycem... fena degil izlenebilir... 
";negative
"o kadar da kötü bir film deil izlenebilir. 
";positive
"ben sinemaya gittim ilk türk korku filmi ya güya izlemeye arkadaslarla gittik hani su çocugun yüzüne telefon örümcek oluyo ya beni gülme krizi tuttu herkes bana baki iyi mi ya bu kiz falan die kriz geldi susamiyorum gülmekten sonra sustum ama ç.ok matrak komik bi film. 
";negative
"amy adams in tatli oyunculugu, küçük ve eglendirici detaylarla bezenmis, keyif veren ve kendini izleten, içinde birçok duyguyu barindiran gayet güzel bir aile filmi, zevk aldim.. 
";positive
"beyler son derece izlemek istedigim bir film ama izleyememek ne kadar kötü!!!. 
";positive
"hayatimin filmi ne kadar güzeldi yaaa hiç bitsin istemedim tipki bir masal gibi ....... 
";positive
muhtesem ßir film. tam 4 kez seyrettim ve her seferindede duygularima hakim olamadim ßence harika ßir yapimmm. o yüzden favorim ve 10 üzerinden 10 veriyorum.daha yüksek puan yok çünkü.....;positive
"kesinlikle harika bir film, herkesin izlemesini siddetle tavsiye ediyorum.... 
";positive
"walla bn bu kadar güzel türk filmi görmedim ya süper bi film . herkese gitmesini öneririm. ztn bütün film boyunca aglamaktan gözlerin agridi . biraz fazla aglatici olsa da bnce türk sinemasinin en ii filmidir diyorum ve nokta koyuyorum.... 
";positive
"oldu olacak oscara da aday gösterelim, ne filmmis be! vay ki vay.... 
";negative
bence quentin tarantinonun en iyilerinin arasinda yer aliyor pulp fiction ve yaklasik 2.5 saat sürmesine karsin, sikilmadan izleyebiliyorsunuz. mutlaka izleyin derim ben..;positive
"hava zaten sicak birde bu filmin yavan mi yavan temposu eklenince cehennemi gördüm resmen.senaryodan,yönetmenlige her sey vasat bu filmde.bos vaktiniz olsa bile izlemeyin kitap okuyun,uyuyun,ders çalisin . 
";negative
bu filmin nesi çekici gelior para verip bu filme gidenleri anlayamiyorum gerçekten bide büyük sinemalarda hep 2 salona konuluyor nedense.;negative
"mesaj verme kaygisiyla yapilmis, bir topluma ve o toplumun kurulusuna hakaret etme amaci güden saçma sapan bir yapim.. 
";negative
"beklemedigim kadar kötü bir filmdi.sonu çok saçma bitti.zamaninizi bos yere harcamayin derim.... 
";negative
"gerçekten harika bir film.oyuncular çok iyi,seneyo çok güzel.aglatirken güldürüyo çok güzel anlatilmis.herkes izlemeli bence. 
";positive
"oldukça farkli hikayesini kötü bir senaryo, derinlestirilememis karakterler, basit oyuncu performanslari, yavas sikici anlatimi, kötü sonuyla rezil eden su birikintisi derinliginde olan, çekildigi yil için bile oldukça zayif bir bilimkurgu, bugün içinse hiçbir degeri olmayan çok kötü bir film. . 
";negative
"bütün senaryo basindan sonuna belli olan .. bayagi geçen bir film. beklentilerimin üstünde bir film beklerken hayal kirikligina ugradim.. 
";negative
"arkadaslar bence çok güzel filmdi hiç degilse içinde saçma bir kurgu yoktu donnie darko'dan bin kat daha iyi bence oyuncularda süper oynamis . 
";positive
"dogrusu bu kadar hayal kirikligi yasayacagimi hiç düsünmemistim. filme berbat diyecegim ama bazilari abarttigimi düsünecek. o nedenle kesinlikle çok kötü diyeyim bari. ikinci sinif bir ask filmi bile daha keyifli ve güzel olabilirdi.. 
";negative
"ben bu filmi pek fazla begenmedim hiçte komik degil berbat filmlerden biri bu!!!. 
";negative
"ben cogu arkadasla ayni fikirde degilim maykil bizim bir degerimiz degildi bir klibini sidisinide alsak aynisey adamlar canlininda öleninde arkasindan para kazanmaya calisiyorlar bence bu filme gitmek sadece para ve zaman kaybi adamlar herseyi firsata ceviriyor. 
";negative
"her gerçek hayat hikayesi olan flim güzel olacak diye bir kaidemi var.flimi izledikten sonra cdsini en yakin çöpe atmalik tam.. 
";negative
"kötünün de kötüsü. kizin hareketleri çok yapmacikti hele filmin sonunda kizin yaptigi tercih saçmalikti. çok çocuksu ve gereksiz bir film asla tavsiye etmiyorum!. 
";negative
"hersey önceden bu kadar mi belli olur bir filmde...bence çok basit bir sonla baglanmis ...sikicilgini bir kenera atiyorum sonu beni tatmin etmedi....benim için vakit kaybi oldu....... 
";negative
"film aksiyon severler için harika oyunculugu zaten övmeye gerek yok nede olsa jet li ve statham basrolü birlikte oynuyolar.konu ise gayet güzel degisik olmus.ayrica filmin sonu güzel bitmis.sonuç olarak basarili bir yapim.. 
";positive
"gerçekten güzel bi filmdi özellikle ve son sahnesindeki pilot speed - alright in sarkisi süperdi.. 
";positive
"aksiyon filmlerini seviyorsaniz bu filmi kaçirmayin derim. 
";positive
arkadaslar ben bu filmin kitabini okudum kitap 500 küsür sayfaydi we ben bu kitabi 5 günde bitirdim hava atmak için falan demedim ne kdr gzl olduunu anlayin die dedim eee senaryo haliyle spr oyuncular dolayisiyla oyunculukta spr e yönetmen fln ii is çikarirsa tadindan yenmez.;positive
"lütfen gitmeyin paraniz ve zamaniniz yaninda sinirlerinize cok yazik oluyor çunku.... 
";negative
"yahh war yahh tek kelimeyle süpr bi film herkesin izlemesini tawsiye ediyorum çok ii bi film oyuncular kadro süper tam ders çikarmalik bi film. 
";positive
kadroya sakin aldanmayin,film birde 2 saate yakin sürüyor,sonu o kadar basit bitiyorki,diyorsunuz güzerl çatismalar olacak falan ama hiçbise yok,kötü film..;negative
"bence gayet hos bir filmdi benim çok hosuma gitti atmosfer,müzikler,oyunculuklar,kar,ren geyikleri,elfler,kuzey kutbu falan hepsi müthisti.beni iki saatligine de olsa baska dünyalara götürerek relax olmami sagladi.ben herkese öneririm.. 
";positive
"tesadüflerin kurgulu olarak sunulmasi onlarin tesadüflügünü ortadan kaldirir mi? bu soruyu geçersiz kilan her yönüyle basarili bir film... . 
";positive
"filmde en çok etkileyen sanirim oyuncu secimleri dogrultusunda oyunculuklar. gerçekten çok basarili. etkileyici ve izlemesi keyifli bir film... filmden sonra da etkisi altinda birakiyor ve düsündürüyor , peri masallarini.... 
";positive
okadar saçma sahneler var ki. yani adamlar binadan atliyorlar daha 2-3 metreden helekopteri tutuyorlar. yani her tarafi çakma hiçbir orjinal sahne yok olanlarda zaten mantikli degil. keski istanbulda çekilmeseydi..;negative
"nasil oscar almis anlamadim izlemeseniz de bisi kaybetmezsiniz bence...hele ilk yari çok sikiciydi sona dogru haretketleniyor güzellesiyor gibi ama bence gene de kurtarmiyor.. 
";negative
filmi izlerken sanki yurtdisinda çekilmis gibi geldi.filmdeki iliskilerde çok gerçekçi güncel gelmedi.oyuncular yabanciydi sanki.bence filmin son 10 dakikasi idare ederdi.bekledigim gibi degildi..;negative
"yorumlardan belli olduu gibi heyecan veren bir film ama puani biraz düsük bence. 
";positive
"film zaten basinda kendini belli ediyor daha en basindan tüylerim diken diken gözlerim dolu dolu oldu. süper bir filmdi basindan sonuna nerdeyse agladim. aglamaktan basim agridi. herseyiyle süperdi. oyunculuklar, müzik, senaryo, akliniza ne geliyorsa süperdi.. 
";positive
"kitaptan cok güzel uyarlanmis bir film... bence herkes izlemeli.... 
";positive
1 yildir bu filmi bekliyorum..okudugum yorumlardan sonra gitme istegim azaldi ama ne olursa olsun gtmeyi düsünüyorum.hiç olmadi merakimi gideririm..bu arada seçtkleri karakter tipleri de bni hayal kirikligina ugratti....;negative
"hayatimda izledigim en iyi filmlerden biri,bence izleyin bu film kaçmaz.. 
";positive
"bence çok kötü bir film tek kelime berbat. 
";negative
"son bölümü gersekten çok etkileyiciydi,zorla hiç bir seyin olmayacaginiz daha iyi anlatan bir yapit olamaz. 
";positive
"jason statham aksiyon türlerinde aranan an oldu bence film aksiyon ama sizi güldüren yerlerde olacak ben begendim . 
";positive
"brad pittin olmadigi sahneler hiç birseye benzemiyor. gülmek bi yana nasi bu kadar kötü bir film çekmisler aglamak istiyorsunuz izlemeye degmez.... 
";negative
"kim ne derse desin kimse begenmesede ben begendim vahset sahnelerinde için çok fena oldu.arkadaslara katiliyorum cinsellik içeren sahneler çok fazlaydi ama ben gene de çok sevdim.iskence sahnelerinde içim kalkti neredeyse kuscaktim bu yüzden begendim zaten.ben eglendigimi söyleyebilirim. . 
";positive
isledigi konu açisindan bile en az 9 pauni hakediyor...turk sinemasinda bir çok ilki gorebilirsiniz bu filmde.... izleyenler izlemistir zaten ama neden puani bu kadar düsük anlamadim.. saçma sapan filmlere 8-9 yapistirmayi biliyoruz ama.yazik degerinde puan alamamis.. .;positive
"gerçekten çok degisik bir senaryo. degisik bir film. idare eder... testereden daha güzel.... 
";negative
"çok sikici bi film bende yarin gidicem. 
";negative
"izledigim en guzel animasyon filmlerinden biriydi belki de bir ders niteliginde bir film gelecegimizi dusunursek gercekten cok keyifli ve dusundurucu bir film izlenmesi gerekir . 
";positive
1. izleyenler için sakin iyi bisey beklemeyin yerini asla tutmaz keske çevirmeselerdi de aklimizda sadece o mukemmel olan kelebek etkisi kalsaydi.;negative
"çok büyük beklentiyle gitmistim ama tam bir hayal kirikligi oldu benim için..asiri sikilmadim izlerken tamam ama film bittiginde söylenildigi gibi hiçbir etki falan da kalmadi üzerimde... 
";negative
"en iyi uçak filmi desem bu filmi ancak tanimlayabilirim.kaliteli bir aksiyon... 
";positive
"gelmis geçmis en iyi türk filmi.mükemmel bi film.hem aglatiyor,hem güldürüyor akici bi konusu var.oyuncular müthis.yönetmen cok iyi.özetle harika bir film. . 
";positive
"çok merak ediyorsaniz oturun evinizde dvdsini izleyin..zaman+para kaybi... 
";negative
"saçmaliktan baska hiçbirsey degil.... 
";negative
"o an biraz gülüyorsun ama çikinca anliyorsun ki bos bi film.. gitmemenizi tavsiye ederim... 
";negative
"bir savas filmine göre çok agir ve çok az etkileyici sahne var.biraz belgesel tarzi olmus.keske bu filmi amerikalilar degilde japonlar çekseydi.yinede kötü diyemeyiz.. 
";positive
"belgesel niyetine izlenebilir bence ancak...en komik korku filmi... 
";negative
"son zamanlarda izledigim en güzel animasyonlardan biri. eger gerilimden hoslaniyorsaniz bundan da hoslanacaginiz muhakkak.. 
";positive
"yilina görede kötü, bugüne görede kötü. hadi efektleri yapamamissiniz bari oyunculuk olsaydi. zaman kaybi. 
";negative
"orijinal versiyonu seyretmedim, ancak bu yeniden çevrim iyidi.... 
";positive
"bu filme komik diyenler hayatlarinda hiç komedi filmi izlememisler sanirim. ilk filmi referans alip gittim ama pisman oldum. çok çok kötü. 
";negative
"arkadaslar muhakkak izlemeniz gereken bir film bir insanin kendi kariyerini ve hayatini hice sayarak nasil dogruyu ve hakli olani korumaya calistigini goreceksiniz.. 
";positive
"acikcasi film cok basit di,isminden de anlasilacagi gibi ustalarin degerine dem vuracagini dusunuyordum ucak myapma sevdasina kapilmis birini anlatiyor,kayda deger bisey yok filmde izlemeye degmez. 
";negative
"--spoiler--bekledigimden daha heyecan dolu bir filmdi.. görsel olarakta tatmin ediciydi.. özellikle karanlik sahneler oldukca adrenalin yüklüydü.. sonu daha iyi bitebilirdi.. yada bi seri film seklinde devam edebilirdi.. ama will smith öldü.. --spoiler--izlenmeye deger.. . 
";positive
"bunu orijinal yerinde yani bir tiyatro sahnesinde izlemek daha güzel olurdu. isimli oyuncu kadrosu var ancak hepsi belkide kariyerinin en kötü oyunculuklarini sergilemisler. izlememis olmamak için izledim ama benim için büyük bir zaman kaybiydi.. 
";negative
"tek kelimeyle muhtesem bir film aglamamak için kendimi zor tuttum kesinlikle izlenmeli çok duygusal olan insanlar kesin aglar uyariyim yani. 
";positive
"film hakkinda will smit gercekten elinden geleni yapmis paranizin tam karsiligi bence,zatennn iyi seyirlerr. 
";positive
"muhtesem. 
";positive
"eger biraz sevdiklerinizi hatirlamya ihtiyaciniz varsa.....onlari özlüyorsaniz...onlari kirdiysaniz...belki agliyorsaniz.....sicak bir gülümsemeyi özlediyseniz...vb bu filmi izlein sevdiklerinize daha yakin hissediceksiniz...onlarin deerini daha ii anlicaksiniz.....kacirmayin..... 
";positive
"iki iyi oyunculuk baska birsey yok.hatta sikici ve izlenmesi zaman kaybi olan bir film.yani bu iki oyuncuya da yakismayan kötülükte bir filim olmus gereksiz bir filim dogrusu.zaten bu filime harcanan parada sanirim sadece içkiler baska birsey oldugunu sanmiyorum.... 
";negative
"güzel ve bir o kadarda baglayan bir film.dvd sini izledim ve bir an tv basindan kalkmadim.sürükleyici ayni zamanda.sanki biraz stephan king in cinnet filmini animsatti.bence yani.. 
";positive
"muhtesem muhtesem muhtesem. 
";positive
bu filimin yönetmeni quentin tarantino olmasini bilmek izleyeceginiz filimin size degset vereceginin göstergesidir. kill bill'den daha etkili bence ve 2. bölümü hak etmis ve sabirsizlikla 2007 de cikan ikinci degseti bekliyorum..;positive
"farkli araliklarla izlendiginde dahi çok degisik tatlar alabileceginiz kesinlikle izlenilesi bir film : . 
";positive
"bir film basindan,sonunda ne olucagini bu kadar belli edemez..hersey zorlama,hersey kasinti.oyuncular,senaryo,kurgu...zorlama bir senaryo ve izlenmeye deger bir film gibi degil..ama her film izlenmeli tabi . 
";negative
"bi aksam filmim bitti.himm bu da neymis diyerek aldigim bu film,inanilmaz keyifli.kisilikler,dengesizlikler,hirs,nese.özetle izleyin derim... 
";positive
"jennifer lopez'i artik filmlerde görmemek için dünya çapinda oy toplamayi düsünüyorum ne dersiniz... (çok ciddiyim). 
";negative
"...sanatsal film yapilacak diye bir film böyle katledilmemeli bence.konu güzel fakat kurgu,yönetmenlik berbat.oscar da bir tane bile ödül alabilirse (en iyi kostüm de dahil) sasirir ve oscari kendimce bir daha sorgularim!. 
";negative
"bence iyi bir filmdi ben begendim. filmin kisa olmasi da konunun dagilmamasi açisindan oldukça iyi bir seçim. cok cok mükemmel bir film oldgunu söyleyemem ama ben oldukça gerildim. gerilmek isteyen tavsiye edebilecegim bir film.. 
";positive
"bi kere romanla alakasi yok ben eski filmi yeniden çektiler diye gittim çok siradan keske fragmanini izleseydim o zaman gitmezdim...yinede eger isim gücüm yok zaman geçirmek istiyorum diyosaniz gidebilirsiniz. 
";negative
"yetkin dikiciler, çetin tekindor disinda oyunculuk aradim durdum film boyu, fikret kuskan oyunculuk sergilesin diye beklerken bir de bakmissin film bitmis, ege tanman bile çocuk haliyle kuskana tas çikaran bir oyunculuk sergilemis.. . gözyasina oynamis yapay bir film. 
";negative
"benicio del toro ve halle berry gibi iki oyuncu adina üzüldüm.senaryoyu okuduklarinda eminim ortaya böyle bir film çikacagini düsünmemislerdir.. 
";negative
"güzel bir modern türk sinemasi örnegi.filmdeki bütün oyuncular rollerinin hakkini vermis.ama en iyisi bence çetin tekindordu.herkesin izlemesi ve izlememis olanlari izlemeye tesvik etmesi gerekir.. 
";positive
"filmin konusu gerçekten ilgi çekici, oyunculukta güzel ama bnce olmasi gerekenin çok disindaydi ben büyük bir hayal kirikligiyla çiktim salondan.. 
";negative
"jason statham.....bu adam giderek popülaritesini artiriyor ve yakin da aksiyon dalinda aranan bir aktör olacak.buna eminim.. 
";positive
"bu film kaçmaz. . yeni bir fantastik film. . yeni lotr gibi bisey iste...  
";positive
"bu filmi bugun izledim we cook sikildim filmin girisi cok sikiciydi ama sonlara dogru degisik bi hal almaya basladi finali guzeldi.izlenicek daha guzel filmlerde war o yuzden bu filme gitmeyin. 
";negative
"uzun sikici diyaloglariyla klasik bir tarantino filmi evet kurgu güzel ama film hep uzun sikici diyaloglarla dolu. izlerken çooook sikildim açikcasi. 
";negative
